cidade,estado,uf,latitude,longitude
Balneário Camboriú,SANTA CATARINA,SC,-26.9926,-48.6352
Blumenau,SANTA CATARINA,SC,-26.9155,-49.0709
Braço do Norte,SANTA CATARINA,SC,-28.2681,-49.1701
Brunópolis,SANTA CATARINA,SC,-27.3058,-50.8684
Brusque,SANTA CATARINA,SC,-27.0977,-48.9107
Caibi,SANTA CATARINA,SC,-27.0741,-53.2458
Campo Belo do Sul,SANTA CATARINA,SC,-27.8975,-50.7595
Campo Erê,SANTA CATARINA,SC,-26.3931,-53.0856
Campos Novos,SANTA CATARINA,SC,-27.4002,-51.2276
Canoinhas,SANTA CATARINA,SC,-26.1766,-50.395
Capinzal,SANTA CATARINA,SC,-27.3473,-51.6057
Caçador,SANTA CATARINA,SC,-26.7757,-51.012
Chapecó,SANTA CATARINA,SC,-27.1004,-52.6152
Concórdia,SANTA CATARINA,SC,-27.2335,-52.026
Correia Pinto,SANTA CATARINA,SC,-27.5877,-50.3614
Corupá,SANTA CATARINA,SC,-26.4246,-49.246
Criciúma,SANTA CATARINA,SC,-28.6723,-49.3729
Cunha Porã,SANTA CATARINA,SC,-26.895,-53.1662
Curitibanos,SANTA CATARINA,SC,-27.2824,-50.5816
Dionísio Cerqueira,SANTA CATARINA,SC,-26.2648,-53.6351
Florianópolis,SANTA CATARINA,SC,-27.5945,-48.5477
Forquilhinha,SANTA CATARINA,SC,-28.7454,-49.4785
Fraiburgo,SANTA CATARINA,SC,-27.0233,-50.92
Galvão,SANTA CATARINA,SC,-26.4549,-52.6875
Gaspar,SANTA CATARINA,SC,-26.9336,-48.9534
Guaramirim,SANTA CATARINA,SC,-26.4688,-49.0026
Herval d'Oeste,SANTA CATARINA,SC,-27.1903,-51.4917
Ibirama,SANTA CATARINA,SC,-27.0547,-49.5193
Imbituba,SANTA CATARINA,SC,-28.2284,-48.6659
Indaial,SANTA CATARINA,SC,-26.8992,-49.2354
Iporã do Oeste,SANTA CATARINA,SC,-26.9854,-53.5355
Itaiópolis,SANTA CATARINA,SC,-26.339,-49.9092
Itajaí,SANTA CATARINA,SC,-26.9101,-48.6705
Itapema,SANTA CATARINA,SC,-27.0861,-48.616
Ituporanga,SANTA CATARINA,SC,-27.4101,-49.5963
Içara,SANTA CATARINA,SC,-28.7132,-49.3087
Jaborá,SANTA CATARINA,SC,-27.1782,-51.7279
Jaraguá do Sul,SANTA CATARINA,SC,-26.4851,-49.0713
Joaçaba,SANTA CATARINA,SC,-27.1721,-51.5108
Joinville,SANTA CATARINA,SC,-26.3045,-48.8487
Lages,SANTA CATARINA,SC,-27.815,-50.3259
Luiz Alves,SANTA CATARINA,SC,-26.7151,-48.9322
Mafra,SANTA CATARINA,SC,-26.1159,-49.8086
Major Vieira,SANTA CATARINA,SC,-26.3709,-50.3266
Maravilha,SANTA CATARINA,SC,-26.7665,-53.1737
Massaranduba,SANTA CATARINA,SC,-26.6109,-49.0054
Monte Carlo,SANTA CATARINA,SC,-27.2239,-50.9808
Morro da Fumaça,SANTA CATARINA,SC,-28.6511,-49.2169
Nova Trento,SANTA CATARINA,SC,-27.278,-48.9298
Nova Veneza,SANTA CATARINA,SC,-28.6338,-49.5055
Otacílio Costa,SANTA CATARINA,SC,-27.4789,-50.1231
Palhoça,SANTA CATARINA,SC,-27.6455,-48.6697
Palma Sola,SANTA CATARINA,SC,-26.3471,-53.2771
Palmitos,SANTA CATARINA,SC,-27.0702,-53.1586
Papanduva,SANTA CATARINA,SC,-26.3777,-50.1419
Pinhalzinho,SANTA CATARINA,SC,-26.8495,-52.9913
Pomerode,SANTA CATARINA,SC,-26.7384,-49.1785
Porto União,SANTA CATARINA,SC,-26.2451,-51.0759
Pouso Redondo,SANTA CATARINA,SC,-27.2567,-49.9301
Praia Grande,SANTA CATARINA,SC,-29.1918,-49.9525
Presidente Getúlio,SANTA CATARINA,SC,-27.0474,-49.6246
Rio do Oeste,SANTA CATARINA,SC,-27.1952,-49.7989
Rio do Sul,SANTA CATARINA,SC,-27.2156,-49.643
Romelândia,SANTA CATARINA,SC,-26.6809,-53.3172
Salto Veloso,SANTA CATARINA,SC,-26.903,-51.4043
Seara,SANTA CATARINA,SC,-27.1564,-52.299
Sombrio,SANTA CATARINA,SC,-29.108,-49.6328
São Bento do Sul,SANTA CATARINA,SC,-26.2495,-49.3831
São Domingos,SANTA CATARINA,SC,-26.5548,-52.5313
São Joaquim,SANTA CATARINA,SC,-28.2887,-49.9457
São José,SANTA CATARINA,SC,-27.6136,-48.6366
São José do Cedro,SANTA CATARINA,SC,-26.4561,-53.4955
São João Batista,SANTA CATARINA,SC,-27.2772,-48.8474
São Lourenço do Oeste,SANTA CATARINA,SC,-26.3557,-52.8498
São Miguel do Oeste,SANTA CATARINA,SC,-26.7242,-53.5163
Taió,SANTA CATARINA,SC,-27.121,-49.9942
Tangará,SANTA CATARINA,SC,-27.0996,-51.2473
Tijucas,SANTA CATARINA,SC,-27.2354,-48.6322
Timbó,SANTA CATARINA,SC,-26.8246,-49.269
Timbó Grande,SANTA CATARINA,SC,-26.6127,-50.6607
Treze Tílias,SANTA CATARINA,SC,-27.0026,-51.4084
Trombudo Central,SANTA CATARINA,SC,-27.3033,-49.793
Tubarão,SANTA CATARINA,SC,-28.4713,-49.0144
Turvo,SANTA CATARINA,SC,-28.9272,-49.6831
Urussanga,SANTA CATARINA,SC,-28.518,-49.3238
Vargeão,SANTA CATARINA,SC,-26.8621,-52.1549
Videira,SANTA CATARINA,SC,-27.0086,-51.1543
Witmarsum,SANTA CATARINA,SC,-26.9275,-49.7947
Xanxerê,SANTA CATARINA,SC,-26.8747,-52.4036
Xaxim,SANTA CATARINA,SC,-26.9596,-52.5374
Água Doce,SANTA CATARINA,SC,-26.9985,-51.5528
Adamantina,SÃO PAULO,SP,-21.682,-51.0737
Americana,SÃO PAULO,SP,-22.7374,-47.3331
Andradina,SÃO PAULO,SP,-20.8948,-51.3786
Aparecida,SÃO PAULO,SP,-22.8495,-45.2325
Apiaí,SÃO PAULO,SP,-24.5108,-48.8443
Araraquara,SÃO PAULO,SP,-21.7845,-48.178
Araras,SÃO PAULO,SP,-22.3572,-47.3842
Araçatuba,SÃO PAULO,SP,-21.2076,-50.4401
Artur Nogueira,SÃO PAULO,SP,-22.5727,-47.1727
Arujá,SÃO PAULO,SP,-23.3965,-46.32
Assis,SÃO PAULO,SP,-22.66,-50.4183
Atibaia,SÃO PAULO,SP,-23.1171,-46.5563
Auriflama,SÃO PAULO,SP,-20.6836,-50.5572
Avaré,SÃO PAULO,SP,-23.1067,-48.9251
Bady Bassitt,SÃO PAULO,SP,-20.9197,-49.4385
Barra Bonita,SÃO PAULO,SP,-22.4909,-48.5583
Barretos,SÃO PAULO,SP,-20.5531,-48.5698
Barueri,SÃO PAULO,SP,-23.5057,-46.879
Batatais,SÃO PAULO,SP,-20.8929,-47.5921
Bauru,SÃO PAULO,SP,-22.3246,-49.0871
Bebedouro,SÃO PAULO,SP,-20.9491,-48.4791
Birigui,SÃO PAULO,SP,-21.291,-50.3432
Boituva,SÃO PAULO,SP,-23.2855,-47.6786
Botucatu,SÃO PAULO,SP,-22.8837,-48.4437
Bragança Paulista,SÃO PAULO,SP,-22.9527,-46.5419
Buritama,SÃO PAULO,SP,-21.0661,-50.1475
Buritizal,SÃO PAULO,SP,-20.1911,-47.7096
Cabreúva,SÃO PAULO,SP,-23.3053,-47.1362
Cafelândia,SÃO PAULO,SP,-21.8031,-49.6092
Campinas,SÃO PAULO,SP,-22.9053,-47.0659
Capão Bonito,SÃO PAULO,SP,-24.0113,-48.3482
Carapicuíba,SÃO PAULO,SP,-23.5235,-46.8407
Catanduva,SÃO PAULO,SP,-21.1314,-48.977
Caçapava,SÃO PAULO,SP,-23.0992,-45.7076
Cerquilho,SÃO PAULO,SP,-23.1665,-47.7459
Colina,SÃO PAULO,SP,-20.7114,-48.5387
Coroados,SÃO PAULO,SP,-21.3521,-50.2859
Cosmópolis,SÃO PAULO,SP,-22.6419,-47.1926
Cândido Mota,SÃO PAULO,SP,-22.7471,-50.3873
Descalvado,SÃO PAULO,SP,-21.9002,-47.6181
Dracena,SÃO PAULO,SP,-21.4843,-51.535
Elias Fausto,SÃO PAULO,SP,-23.0428,-47.3682
Embu das Artes,SÃO PAULO,SP,-23.6437,-46.8579
Espírito Santo do Pinhal,SÃO PAULO,SP,-22.1909,-46.7477
Fartura,SÃO PAULO,SP,-23.3916,-49.5124
Fernandópolis,SÃO PAULO,SP,-20.2806,-50.2471
Franca,SÃO PAULO,SP,-20.5352,-47.4039
Garça,SÃO PAULO,SP,-22.2125,-49.6546
Guapiara,SÃO PAULO,SP,-24.1892,-48.5295
Guararapes,SÃO PAULO,SP,-21.2544,-50.6453
Guaratinguetá,SÃO PAULO,SP,-22.8075,-45.1938
Guaraçaí,SÃO PAULO,SP,-21.0292,-51.2119
Guarulhos,SÃO PAULO,SP,-23.4538,-46.5333
Guará,SÃO PAULO,SP,-20.4302,-47.8236
Guaíra,SÃO PAULO,SP,-20.3196,-48.312
Holambra,SÃO PAULO,SP,-22.6405,-47.0487
Hortolândia,SÃO PAULO,SP,-22.8529,-47.2143
Ibirarema,SÃO PAULO,SP,-22.8185,-50.0739
Ibiúna,SÃO PAULO,SP,-23.6596,-47.223
Indaiatuba,SÃO PAULO,SP,-23.0816,-47.2101
Iperó,SÃO PAULO,SP,-23.3513,-47.6927
Itapecerica da Serra,SÃO PAULO,SP,-23.7161,-46.8572
Itapetininga,SÃO PAULO,SP,-23.5886,-48.0483
Itapeva,SÃO PAULO,SP,-23.9788,-48.8764
Itapira,SÃO PAULO,SP,-22.4357,-46.8224
Itaquaquecetuba,SÃO PAULO,SP,-23.4835,-46.3457
Itararé,SÃO PAULO,SP,-24.1085,-49.3352
Itaí,SÃO PAULO,SP,-23.4213,-49.092
Itu,SÃO PAULO,SP,-23.2544,-47.2927
Ituverava,SÃO PAULO,SP,-20.3355,-47.7902
Itápolis,SÃO PAULO,SP,-21.5942,-48.8149
Jaboticabal,SÃO PAULO,SP,-21.252,-48.3252
Jacareí,SÃO PAULO,SP,-23.2983,-45.9658
Jales,SÃO PAULO,SP,-20.2672,-50.5494
Jardinópolis,SÃO PAULO,SP,-21.0176,-47.7606
Jaú,SÃO PAULO,SP,-22.2936,-48.5592
Jundiaí,SÃO PAULO,SP,-23.1852,-46.8974
Leme,SÃO PAULO,SP,-22.1809,-47.3841
Limeira,SÃO PAULO,SP,-22.566,-47.397
Lins,SÃO PAULO,SP,-21.6718,-49.7526
Lorena,SÃO PAULO,SP,-22.7334,-45.1197
Maracaí,SÃO PAULO,SP,-22.6149,-50.6713
Marília,SÃO PAULO,SP,-22.2171,-49.9501
Matão,SÃO PAULO,SP,-21.6025,-48.364
Miguelópolis,SÃO PAULO,SP,-20.1796,-48.031
Mirandópolis,SÃO PAULO,SP,-21.1313,-51.1035
Mirassol,SÃO PAULO,SP,-20.8169,-49.5206
Mococa,SÃO PAULO,SP,-21.4647,-47.0024
Mogi Guaçu,SÃO PAULO,SP,-22.3675,-46.9428
Mogi Mirim,SÃO PAULO,SP,-22.4332,-46.9532
Nhandeara,SÃO PAULO,SP,-20.6945,-50.0436
Nova Odessa,SÃO PAULO,SP,-22.7832,-47.2941
Novo Horizonte,SÃO PAULO,SP,-21.4651,-49.2234
Nuporanga,SÃO PAULO,SP,-20.7296,-47.7429
Olímpia,SÃO PAULO,SP,-20.7366,-48.9106
Orlândia,SÃO PAULO,SP,-20.7169,-47.8852
Osasco,SÃO PAULO,SP,-23.5324,-46.7916
Osvaldo Cruz,SÃO PAULO,SP,-21.7968,-50.8793
Ourinhos,SÃO PAULO,SP,-22.9797,-49.8697
Palmital,SÃO PAULO,SP,-22.7858,-50.218
Paraguaçu Paulista,SÃO PAULO,SP,-22.4114,-50.5732
Paranapanema,SÃO PAULO,SP,-23.3862,-48.7214
Paulínia,SÃO PAULO,SP,-22.7542,-47.1488
Pederneiras,SÃO PAULO,SP,-22.3511,-48.7781
Penápolis,SÃO PAULO,SP,-21.4148,-50.0769
Pindamonhangaba,SÃO PAULO,SP,-22.9246,-45.4613
Piracicaba,SÃO PAULO,SP,-22.7338,-47.6476
Pirassununga,SÃO PAULO,SP,-21.996,-47.4257
Porto Ferreira,SÃO PAULO,SP,-21.8498,-47.487
Presidente Bernardes,SÃO PAULO,SP,-22.0082,-51.5565
Presidente Prudente,SÃO PAULO,SP,-22.1207,-51.3925
Presidente Venceslau,SÃO PAULO,SP,-21.8732,-51.8447
Promissão,SÃO PAULO,SP,-21.5356,-49.8599
Quatá,SÃO PAULO,SP,-22.2456,-50.6966
Rancharia,SÃO PAULO,SP,-22.2269,-50.893
Regente Feijó,SÃO PAULO,SP,-22.2181,-51.3055
Registro,SÃO PAULO,SP,-24.4979,-47.8449
Ribeirão Preto,SÃO PAULO,SP,-21.1699,-47.8099
Rio Claro,SÃO PAULO,SP,-22.3984,-47.5546
Saltinho,SÃO PAULO,SP,-22.8442,-47.6754
Salto,SÃO PAULO,SP,-23.1996,-47.2931
Salto Grande,SÃO PAULO,SP,-22.8894,-49.9831
Santa Bárbara d'Oeste,SÃO PAULO,SP,-22.7553,-47.4143
Santa Cruz do Rio Pardo,SÃO PAULO,SP,-22.8988,-49.6354
Santana de Parnaíba,SÃO PAULO,SP,-23.4439,-46.9178
Sertãozinho,SÃO PAULO,SP,-21.1316,-47.9875
Sorocaba,SÃO PAULO,SP,-23.4969,-47.4451
Sumaré,SÃO PAULO,SP,-22.8204,-47.2728
Suzano,SÃO PAULO,SP,-23.5448,-46.3112
São Bernardo do Campo,SÃO PAULO,SP,-23.6914,-46.5646
São Carlos,SÃO PAULO,SP,-22.0174,-47.886
São Joaquim da Barra,SÃO PAULO,SP,-20.5812,-47.8593
São José do Rio Pardo,SÃO PAULO,SP,-21.5953,-46.8873
São José do Rio Preto,SÃO PAULO,SP,-20.8113,-49.3758
São José dos Campos,SÃO PAULO,SP,-23.1896,-45.8841
São João da Boa Vista,SÃO PAULO,SP,-21.9707,-46.7944
São Manuel,SÃO PAULO,SP,-22.7321,-48.5723
São Paulo,SÃO PAULO,SP,-23.5329,-46.6395
São Roque,SÃO PAULO,SP,-23.5226,-47.1357
Taboão da Serra,SÃO PAULO,SP,-23.6019,-46.7526
Taquaritinga,SÃO PAULO,SP,-21.4049,-48.5103
Tatuí,SÃO PAULO,SP,-23.3487,-47.8461
Taubaté,SÃO PAULO,SP,-23.0104,-45.5593
Tietê,SÃO PAULO,SP,-23.1101,-47.7164
Tremembé,SÃO PAULO,SP,-22.9571,-45.5475
Tupi Paulista,SÃO PAULO,SP,-21.3825,-51.575
Tupã,SÃO PAULO,SP,-21.9335,-50.5191
Valinhos,SÃO PAULO,SP,-22.9698,-46.9974
Vargem Grande Paulista,SÃO PAULO,SP,-23.5993,-47.022
Vargem Grande do Sul,SÃO PAULO,SP,-21.8322,-46.8913
Vinhedo,SÃO PAULO,SP,-23.0302,-46.9833
Votorantim,SÃO PAULO,SP,-23.5446,-47.4388
Votuporanga,SÃO PAULO,SP,-20.4237,-49.9781
Águas de Santa Bárbara,SÃO PAULO,SP,-22.8812,-49.2421
Álvares Machado,SÃO PAULO,SP,-22.0764,-51.4722
Araguaína,TOCANTINS,TO,-7.19238,-48.2044
Colinas do Tocantins,TOCANTINS,TO,-8.05764,-48.4757
Gurupi,TOCANTINS,TO,-11.7279,-49.068
Palmas,TOCANTINS,TO,-10.24,-48.3558
Paraíso do Tocantins,TOCANTINS,TO,-10.175,-48.8823
Porto Nacional,TOCANTINS,TO,-10.7027,-48.408
Sítio Novo do Tocantins,TOCANTINS,TO,-5.6012,-47.6381
