estado_destino,municipio_ou_aeroporto
MG,Simonésia
MG,Sobrália
MG,Soledade de Minas
MG,Tabuleiro
MG,Taparuba
MG,Tapiraí
MG,Taquaraçu de Minas
MG,Tarumirim
MG,Teixeiras
MG,Timóteo
MG,Tiradentes
MG,Tiros
MG,Tocantins
MG,Tocos do Moji
MG,Toledo
MG,Tombos
MG,Três Corações
MG,Três Pontas
MG,Tupaciguara
MG,Turvolândia
MG,Ubá
MG,Ubaporanga
MG,Uberaba
MG,Uberlândia
MG,Urucânia
MG,Vargem Alegre
MG,Vargem Bonita
MG,Varginha
MG,Venceslau Brás
MG,Vermelho Novo
MG,Vespasiano
MG,Viçosa
MG,Vieiras
MG,Virgínia
MG,Virginópolis
MG,Visconde do Rio Branco
MG,Volta Grande
RJ,Aperibé
RJ,Araruama
RJ,Areal
RJ,Armação dos Búzios
RJ,Arraial do Cabo
RJ,Barra do Piraí
RJ,Barra Mansa
RJ,Bom Jardim
RJ,Bom Jesus do Itabapoana
RJ,Cabo Frio
RJ,Cachoeiras de Macacu
RJ,Cambuci
RJ,Campos dos Goytacazes
RJ,Cantagalo
RJ,Carapebus
RJ,Cardoso Moreira
RJ,Carmo
RJ,Casimiro de Abreu
RJ,Comendador Levy Gasparian
RJ,Conceição de Macabu
RJ,Cordeiro
RJ,Duas Barras
RJ,Engenheiro Paulo de Frontin
RJ,Iguaba Grande
RJ,Italva
RJ,Itaocara
RJ,Itaperuna
RJ,Itatiaia
RJ,Laje do Muriaé
RJ,Macaé
RJ,Macuco
RJ,Maricá
RJ,Mendes
RJ,Miguel Pereira
RJ,Miracema
RJ,Natividade
RJ,Nova Friburgo
RJ,Paraíba do Sul
RJ,Paty do Alferes
RJ,Petrópolis
RJ,Pinheiral
RJ,Piraí
RJ,Porciúncula
RJ,Porto Real
RJ,Quatis
RJ,Quissamã
RJ,Resende
RJ,Rio Bonito
RJ,Rio Claro
RJ,Rio das Flores
RJ,Rio das Ostras
RJ,Santa Maria Madalena
RJ,Santo Antônio de Pádua
RJ,São Fidélis
RJ,São Francisco de Itabapoana
RJ,São João da Barra
RJ,São José de Ubá
RJ,São José do Vale do Rio Preto
RJ,São Pedro da Aldeia
RJ,São Sebastião do Alto
RJ,Sapucaia
RJ,Saquarema
RJ,Silva Jardim
RJ,Sumidouro
RJ,Teresópolis
RJ,Trajano de Moraes
RJ,Três Rios
RJ,Valença
RJ,Varre-Sai
RJ,Vassouras
RJ,Volta Redonda
ES,Afonso Cláudio
ES,Águia Branca
ES,Alegre
ES,Alfredo Chaves
ES,Alto Rio Novo
ES,Anchieta
ES,Apiacá
ES,Aracruz
ES,Atílio Vivácqua
ES,Baixo Guandu
ES,Barra de São Francisco
ES,Boa Esperança
ES,Bom Jesus do Norte
ES,Brejetuba
ES,Cachoeiro de Itapemirim
ES,Cariacica
ES,Castelo
ES,Colatina
ES,Conceição da Barra
ES,Conceição do Castelo
ES,Divino de São Lourenço
ES,Domingos Martins
ES,Dores do Rio Preto
ES,Ecoporanga
ES,Fundão
ES,Governador Lindenberg
ES,Guaçuí
ES,Guarapari
ES,Ibatiba
ES,Ibiraçu
ES,Ibitirama
ES,Iconha
ES,Irupi
ES,Itaguaçu
ES,Itapemirim
ES,Itarana
ES,Iúna
ES,Jaguaré
ES,Jerônimo Monteiro
ES,João Neiva
ES,Laranja da Terra
ES,Linhares
ES,Mantenópolis
ES,Marataízes
ES,Marechal Floriano
ES,Marilândia
ES,Mimoso do Sul
ES,Montanha
ES,Mucurici
ES,Muniz Freire
ES,Muqui
ES,Nova Venécia
ES,Pancas
ES,Pedro Canário
ES,Pinheiros
ES,Piúma
ES,Ponto Belo
ES,Presidente Kennedy
ES,Rio Bananal
ES,Rio Novo do Sul
ES,Santa Leopoldina
ES,Santa Maria de Jetibá
ES,Santa Teresa
ES,São Domingos do Norte
ES,São Gabriel da Palha
ES,São José do Calçado
ES,São Mateus
ES,São Roque do Canaã
ES,Serra
ES,Sooretama
ES,Vargem Alta
ES,Venda Nova do Imigrante
ES,Viana
ES,Vila Pavão
ES,Vila Valério
ES,Vila Velha
ES,Vitória
Norte/Nordeste/Centro-Oeste,Aracaju
Norte/Nordeste/Centro-Oeste,Belém
Norte/Nordeste/Centro-Oeste,Boa Vista
Norte/Nordeste/Centro-Oeste,Brasilia
Norte/Nordeste/Centro-Oeste,Campinas
Norte/Nordeste/Centro-Oeste,Campo Grande
Norte/Nordeste/Centro-Oeste,Carajás
Norte/Nordeste/Centro-Oeste,Caxias Do Sul
Norte/Nordeste/Centro-Oeste,Chapecó
Norte/Nordeste/Centro-Oeste,Confins - Lagoa Santa
Norte/Nordeste/Centro-Oeste,Cuiabá
Norte/Nordeste/Centro-Oeste,Curitiba
Norte/Nordeste/Centro-Oeste,Florianópolis
Norte/Nordeste/Centro-Oeste,Fortaleza
Norte/Nordeste/Centro-Oeste,Foz Do Iguaçu
Norte/Nordeste/Centro-Oeste,Goiânia
Norte/Nordeste/Centro-Oeste,Guarulhos
Norte/Nordeste/Centro-Oeste,Ilheus
Norte/Nordeste/Centro-Oeste,João Pessoa
Norte/Nordeste/Centro-Oeste,Joinville
Norte/Nordeste/Centro-Oeste,Juazeiro Do Norte
Norte/Nordeste/Centro-Oeste,Juiz de Fora
Norte/Nordeste/Centro-Oeste,Macapá
Norte/Nordeste/Centro-Oeste,Maceió
Norte/Nordeste/Centro-Oeste,Manaus
Norte/Nordeste/Centro-Oeste,Marabá
Norte/Nordeste/Centro-Oeste,Montes Claros
Norte/Nordeste/Centro-Oeste,Natal
Norte/Nordeste/Centro-Oeste,Navegantes
Norte/Nordeste/Centro-Oeste,Palmas
Norte/Nordeste/Centro-Oeste,Pelotas
Norte/Nordeste/Centro-Oeste,Petrolina
Norte/Nordeste/Centro-Oeste,Porto Alegre
Norte/Nordeste/Centro-Oeste,Porto Seguro
Norte/Nordeste/Centro-Oeste,Porto Velho
Norte/Nordeste/Centro-Oeste,Presidente Prudente
Norte/Nordeste/Centro-Oeste,Recife
Norte/Nordeste/Centro-Oeste,Rio De Janeiro - Galeão
Norte/Nordeste/Centro-Oeste,Rio De Janeiro - Santos Dumont
Norte/Nordeste/Centro-Oeste,Salvador
Norte/Nordeste/Centro-Oeste,Santarém
Norte/Nordeste/Centro-Oeste,Sao Luis
Norte/Nordeste/Centro-Oeste,São Paulo (Congonhas)
