cidade,uf,prazo_dias_uteis
DIVINO DE VIRGOLANDIA,MG,11
DIVINOLANDIA DE MINAS,MG,11
DIVINOPOLIS,MG,8
DIVISA ALEGRE,MG,11
DIVISA NOVA,MG,9
DIVISOPOLIS,MG,11
DOM BOSCO,MG,11
DOM CAVATI,MG,11
DOM JOAQUIM,MG,11
DOM LARA,MG,11
DOM SILVERIO,MG,11
DOM VICOSO,MG,9
DONA EUZEBIA,MG,11
DORES DE CAMPOS,MG,11
DORES DE GUANHAES,MG,11
DORES DO INDAIA,MG,11
DORES DO TURVO,MG,11
DORESOPOLIS,MG,9
DOURADINHO,MG,9
DOURADOQUARA,MG,11
DURANDE,MG,11
ELOI MENDES,MG,9
ENGENHEIRO CALDAS,MG,11
ENGENHEIRO NAVARRO,MG,11
ENTRE FOLHAS,MG,11
ENTRE RIOS DE MINAS,MG,11
ERVALIA,MG,11
ESMERALDAS,MG,10
ESPERA FELIZ,MG,11
ESPINOSA,MG,11
ESPIRITO SANTO DO DOURADO,MG,9
ESTIVA,MG,9
ESTRELA DALVA,MG,11
ESTRELA DO INDAIA,MG,11
ESTRELA DO SUL,MG,11
EUGENOPOLIS,MG,11
EWBANK DA CAMARA,MG,11
EXTREMA,MG,9
FAMA,MG,9
FARIA LEMOS,MG,11
FELICIO DOS SANTOS,MG,11
FELISBURGO,MG,11
FELIXLANDIA,MG,11
FERNANDES TOURINHO,MG,11
FERROS,MG,11
FERVEDOURO,MG,11
FLORESTA,MG,11
FLORESTAL,MG,11
FORMIGA,MG,9
FORMOSO,MG,11
FORTALEZA DE MINAS,MG,9
FORTUNA DE MINAS,MG,11
FRANCISCO BADARO,MG,11
FRANCISCO DUMONT,MG,11
FRANCISCO SA,MG,11
FRANCISCOPOLIS,MG,11
FREI GASPAR,MG,11
FREI INOCENCIO,MG,11
FREI LAGONEGRO,MG,11
FRONTEIRA,MG,11
FRONTEIRA DOS VALES,MG,11
FRUTA DE LEITE,MG,11
FRUTAL,MG,10
FUNILANDIA,MG,11
FURNAS,MG,9
GALILEIA,MG,11
GAMELEIRAS,MG,11
GLAUCILANDIA,MG,11
GOIABEIRA,MG,11
GOIANA,MG,11
GONCALVES,MG,9
GONZAGA,MG,11
GOUVEIA,MG,11
GOVERNADOR VALADARES,MG,8
GRANADA,MG,11
GRAO MOGOL,MG,11
GRUPIARA,MG,11
GUANHAES,MG,9
GUAPE,MG,9
GUARACIABA,MG,11
GUARACIAMA,MG,11
GUARANESIA,MG,9
GUARANI,MG,11
GUARARA,MG,11
GUARDA-MOR,MG,11
GUAXUPE,MG,9
GUIDOVAL,MG,11
GUIMARANIA,MG,11
GUIRICEMA,MG,11
GURINHATA,MG,11
HELIODORA,MG,9
IAPU,MG,11
IBERTIOGA,MG,11
IBIA,MG,11
IBIAI,MG,11
IBIRACATU,MG,11
IBIRACI,MG,9
IBIRITE,MG,9
IBITIURA DE MINAS,MG,9
IBITURUNA,MG,9
ICARAI DE MINAS,MG,11
IGARAPE,MG,9
IGARATINGA,MG,11
IGUATAMA,MG,10
IJACI,MG,9
ILICINEA,MG,9
IMBE DE MINAS,MG,11
INCONFIDENTES,MG,9
INDAIABIRA,MG,9
INDIANOPOLIS,MG,11
INGAI,MG,9
INHAPIM,MG,11
INHAUMA,MG,11
INIMUTABA,MG,9
IPABA,MG,11
IPANEMA,MG,11
IPATINGA,MG,8
IPIACU,MG,11
IPUIUNA,MG,9
IRAI DE MINAS,MG,11
ITABIRA,MG,8
ITABIRINHA,MG,11
ITABIRITO,MG,9
ITACAMBIRA,MG,11
ITACARAMBI,MG,11
ITAGUARA,MG,11
ITAIPE,MG,11
ITAJUBA,MG,9
ITAMARANDIBA,MG,11
ITAMARATI DE MINAS,MG,11
ITAMBACURI,MG,11
ITAMBE DO MATO DENTRO,MG,11
ITAMOGI,MG,9
ITAMONTE,MG,9
ITANHANDU,MG,9
ITANHOMI,MG,11
ITAOBIM,MG,11
ITAPAGIPE,MG,11
ITAPECERICA,MG,10
ITAPEVA,MG,9
ITATIAIUCU,MG,11
ITAU DE MINAS,MG,9
ITAUNA,MG,8
ITAVERAVA,MG,11
ITINGA,MG,11
ITUETA,MG,11
ITUIUTABA,MG,9
ITUMIRIM,MG,9
ITURAMA,MG,11
ITUTINGA,MG,9
JABOTICATUBAS,MG,10
JACINTO,MG,11
JACUI,MG,9
JACUTINGA,MG,9
JAGUARACU,MG,11
JAIBA,MG,11
JAMPRUCA,MG,11
JANAUBA,MG,11
JANUARIA,MG,11
JAPARAIBA,MG,10
JAPONVAR,MG,11
JECEABA,MG,11
JENIPAPO DE MINAS,MG,11
JEQUERI,MG,11
JEQUITAI,MG,11
JEQUITIBA,MG,11
JEQUITINHONHA,MG,11
JESUANIA,MG,9
JOAIMA,MG,11
JOANESIA,MG,11
JOAO MONLEVADE,MG,8
JOAO PINHEIRO,MG,11
JOAQUIM FELICIO,MG,11
JORDANIA,MG,11
JOSE GONCALVES DE MINAS,MG,11
JOSE RAYDAN,MG,11
JOSENOPOLIS,MG,11
JUATUBA,MG,11
JUIZ DE FORA,MG,8
JURAMENTO,MG,11
JUREIA,MG,9
JURUAIA,MG,9
JUVENILIA,MG,11
LADAINHA,MG,11
LAGAMAR,MG,11
LAGOA DA PRATA,MG,10
LAGOA DOS PATOS,MG,11
LAGOA DOURADA,MG,10
LAGOA FORMOSA,MG,11
LAGOA GRANDE,MG,11
LAGOA SANTA,MG,7
LAJINHA,MG,11
LAMBARI,MG,9
LAMIM,MG,11
LARANJAL,MG,11
LASSANCE,MG,11
LAVRAS,MG,9
LEANDRO FERREIRA,MG,11
LEME DO PRADO,MG,11
LEOPOLDINA,MG,11
LIBERDADE,MG,11
LIMA DUARTE,MG,11
LIMEIRA DO OESTE,MG,11
LONTRA,MG,11
LUISBURGO,MG,11
LUISLANDIA,MG,11
LUIZLANDIA DO OESTE,MG,11
LUMINARIAS,MG,9
LUZ,MG,10
MACHACALIS,MG,11
MACHADO,MG,9
MADRE DE DEUS DE MINAS,MG,11
MALACACHETA,MG,11
MAMONAS,MG,11
MANGA,MG,11
MANHUACU,MG,9
MANHUMIRIM,MG,11
MANTENA,MG,11
MAR DE ESPANHA,MG,11
MARAVILHAS,MG,11
MARIA DA FE,MG,9
MARIANA,MG,9
MARILAC,MG,11
MARIO CAMPOS,MG,10
MARIPA DE MINAS,MG,11
MARLIERIA,MG,11
MARMELOPOLIS,MG,9
MARTINHO CAMPOS,MG,10
MARTINS SOARES,MG,11
MATA VERDE,MG,11
MATERLANDIA,MG,11
MATEUS LEME,MG,11
MATHIAS LOBATO,MG,11
MATIAS BARBOSA,MG,11
MATIAS CARDOSO,MG,11
MATIPO,MG,11
MATO VERDE,MG,11
MATOZINHOS,MG,9
MATUTINA,MG,11
MEDEIROS,MG,11
MEDINA,MG,11
MENDES PIMENTEL,MG,11
MERCES,MG,11
MESQUITA,MG,11
MINAS NOVAS,MG,11
MINDURI,MG,9
MIRABELA,MG,11
MIRADOURO,MG,11
MIRAI,MG,11
MIRAVANIA,MG,11
MOEDA,MG,10
MOEMA,MG,10
MONJOLOS,MG,11
MONSENHOR PAULO,MG,9
MONTALVANIA,MG,11
MONTE ALEGRE DE MINAS,MG,11
MONTE AZUL,MG,11
MONTE BELO,MG,9
MONTE CARMELO,MG,11
MONTE FORMOSO,MG,11
MONTE SANTO DE MINAS,MG,9
MONTE SIAO,MG,9
MONTE VERDE,MG,9
MONTES CLAROS,MG,8
MONTEZUMA,MG,11
MORADA NOVA DE MINAS,MG,11
MORRO DA GARCA,MG,11
MORRO DO PILAR,MG,11
MUCURI,MG,11
MUNHOZ,MG,9
MURIAE,MG,9
MUTUM,MG,11
MUZAMBINHO,MG,9
NACIP RAYDAN,MG,11
NANUQUE,MG,10
NAQUE,MG,11
NATALANDIA,MG,11
NATERCIA,MG,9
NAZARENO,MG,11
NEPOMUCENO,MG,9
NINHEIRA,MG,11
NOVA BELEM,MG,11
NOVA ERA,MG,11
NOVA LIMA,MG,7
NOVA MODICA,MG,11
NOVA PONTE,MG,11
NOVA PORTEIRINHA,MG,11
NOVA RESENDE,MG,9
NOVA SERRANA,MG,8
NOVA UNIAO,MG,11
NOVO CRUZEIRO,MG,11
NOVO ORIENTE DE MINAS,MG,11
NOVORIZONTE,MG,11
OLARIA,MG,11
OLHOS D AGUA,MG,11
OLHOS DAGUA DO OESTE,MG,11
OLIMPIO NORONHA,MG,9
OLIVEIRA,MG,9
OLIVEIRA FORTES,MG,11
ONCA DE PITANGUI,MG,11
ORATORIOS,MG,11
ORIZANIA,MG,11
OURO BRANCO,MG,11
OURO FINO,MG,9
OURO PRETO,MG,9
OURO VERDE DE MINAS,MG,11
PADRE CARVALHO,MG,10
PADRE PARAISO,MG,11
PAI PEDRO,MG,11
PAINEIRAS,MG,11
PAINS,MG,10
PAIVA,MG,11
PALMA,MG,11
PALMOPOLIS,MG,11
PAPAGAIOS,MG,11
PARA DE MINAS,MG,9
PARACATU,MG,9
PARAGUACU,MG,9
PARAISOPOLIS,MG,9
PARAOPEBA,MG,11
PASSA QUATRO,MG,9
PASSA TEMPO,MG,11
PASSA VINTE,MG,11
PASSABEM,MG,11
PASSOS,MG,9
PATIS,MG,11
PATOS DE MINAS,MG,8
PATROCINIO,MG,9
PATROCINIO DO MURIAE,MG,11
PAULA CANDIDO,MG,11
PAULISTAS,MG,11
PAVAO,MG,11
PECANHA,MG,11
PEDRA AZUL,MG,11
PEDRA BONITA,MG,11
PEDRA DO ANTA,MG,11
PEDRA DO INDAIA,MG,9
PEDRA DOURADA,MG,11
PEDRALVA,MG,9
PEDRAS DE MARIA DA CRUZ,MG,11
PEDRINOPOLIS,MG,11
PEDRO LEOPOLDO,MG,7
PEDRO TEIXEIRA,MG,11
PEQUERI,MG,11
PEQUI,MG,11
PERDIGAO,MG,10
PERDIZES,MG,11
PERDOES,MG,9
PERIQUITO,MG,11
PESCADOR,MG,11
PIAU,MG,11
PIEDADE DE CARATINGA,MG,11
PIEDADE DE PONTE NOVA,MG,11
PIEDADE DO RIO GRANDE,MG,11
PIEDADE DOS GERAIS,MG,11
PIMENTA,MG,10
PINGO-D AGUA,MG,11
PINTOPOLIS,MG,11
PIRACEMA,MG,11
PIRAJUBA,MG,11
PIRANGA,MG,11
PIRANGUCU,MG,9
PIRANGUINHO,MG,9
PIRAPETINGA,MG,11
PIRAPORA,MG,10
PIRAUBA,MG,11
PITANGUI,MG,11
PIUMHI,MG,10
PLANURA,MG,11
POCO FUNDO,MG,9
POCOS DE CALDAS,MG,9
POCRANE,MG,11
POMPEU,MG,11
PONTE FIRME,MG,11
PONTE NOVA,MG,10
PONTO CHIQUE,MG,11
PONTO DOS VOLANTES,MG,11
PORTEIRINHA,MG,11
PORTO FIRME,MG,11
POTE,MG,11
POUSO ALEGRE,MG,9
POUSO ALTO,MG,9
PRADOS,MG,11
PRATA,MG,11
PRATAPOLIS,MG,9
PRATINHA,MG,11
PRESIDENTE BERNARDES,MG,11
PRESIDENTE JUSCELINO,MG,11
PRESIDENTE KUBITSCHEK,MG,11
PRESIDENTE OLEGARIO,MG,11
PRUDENTE DE MORAIS,MG,11
QUARTEL GERAL,MG,11
QUELUZITO,MG,11
RAPOSOS,MG,9
RAUL SOARES,MG,11
RECREIO,MG,11
REDUTO,MG,11
RESENDE COSTA,MG,11
RESPLENDOR,MG,11
RESSAQUINHA,MG,10
RIACHINHO,MG,11
RIACHO DOS MACHADOS,MG,11
RIBEIRAO DAS NEVES,MG,7
RIBEIRAO VERMELHO,MG,9
RIO ACIMA,MG,9
RIO CASCA,MG,11
RIO DO PRADO,MG,11
RIO DOCE,MG,11
RIO ESPERA,MG,11
RIO MANSO,MG,11
RIO NOVO,MG,11
RIO PARANAIBA,MG,11
RIO PARDO DE MINAS,MG,11
RIO PIRACICABA,MG,11
RIO POMBA,MG,11
RIO PRETO,MG,11
RIO VERMELHO,MG,11
RITAPOLIS,MG,10
ROCHEDO DE MINAS,MG,11
RODEIRO,MG,11
ROMARIA,MG,11
ROSARIO DA LIMEIRA,MG,11
RUBELITA,MG,11
RUBIM,MG,11
SABARA,MG,7
SABINOPOLIS,MG,11
SACRAMENTO,MG,11
SALINAS,MG,11
SALITRE DE MINAS,MG,11
SALTO DA DIVISA,MG,11
SANTA BARBARA,MG,11
SANTA BARBARA DO LESTE,MG,11
SANTA BARBARA DO MONTE VERDE,MG,11
SANTA BARBARA DO TUGURIO,MG,11
SANTA CRUZ DE MINAS,MG,11
SANTA CRUZ DE SALINAS,MG,11
SANTA CRUZ DO ESCALVADO,MG,11
SANTA EFIGENIA DE MINAS,MG,11
SANTA FE DE MINAS,MG,11
SANTA HELENA DE MINAS,MG,11
SANTA JULIANA,MG,11
SANTA LUZIA,MG,7
SANTA MARGARIDA,MG,11
SANTA MARIA DE ITABIRA,MG,11
SANTA MARIA DO SALTO,MG,11
SANTA MARIA DO SUACUI,MG,11
SANTA RITA DE CALDAS,MG,9
SANTA RITA DE IBITIPOCA,MG,11
SANTA RITA DE JACUTINGA,MG,11
SANTA RITA DE MINAS,MG,11
SANTA RITA DO ITUETO,MG,11
SANTA RITA DO SAPUCAI,MG,9
SANTA ROSA DA SERRA,MG,11
SANTA VITORIA,MG,11
SANTANA DA VARGEM,MG,9
SANTANA DE CATAGUASES,MG,11
SANTANA DE PIRAPAMA,MG,11
SANTANA DO DESERTO,MG,11
SANTANA DO GARAMBEU,MG,11
SANTANA DO JACARE,MG,9
SANTANA DO MANHUACU,MG,11
SANTANA DO PARAISO,MG,11
SANTANA DO RIACHO,MG,11
SANTANA DOS MONTES,MG,11
SANTO ANTONIO DO AMPARO,MG,9
SANTO ANTONIO DO AVENTUREIRO,MG,11
SANTO ANTONIO DO GRAMA,MG,11
SANTO ANTONIO DO ITAMBE,MG,11
SANTO ANTONIO DO JACINTO,MG,11
SANTO ANTONIO DO MONTE,MG,11
SANTO ANTONIO DO RETIRO,MG,11
SANTO ANTONIO DO RIO ABAIXO,MG,11
SANTO HIPOLITO,MG,11
SANTOS DUMONT,MG,9
SAO BENTO ABADE,MG,9
SAO BRAS DO SUACUI,MG,11
SAO DOMINGOS DAS DORES,MG,11
SAO DOMINGOS DO PRATA,MG,11
SAO FELIX DE MINAS,MG,11
SAO FRANCISCO,MG,11
SAO FRANCISCO DE PAULA,MG,9
SAO FRANCISCO DE SALES,MG,11
SAO FRANCISCO DO GLORIA,MG,11
SAO GERALDO,MG,11
SAO GERALDO DA PIEDADE,MG,11
SAO GERALDO DO BAIXIO,MG,11
SAO GONCALO DO ABAETE,MG,11
SAO GONCALO DO PARA,MG,11
SAO GONCALO DO RIO ABAIXO,MG,11
SAO GONCALO DO RIO PRETO,MG,11
SAO GONCALO DO SAPUCAI,MG,9
SAO GOTARDO,MG,11
SAO JOAO BATISTA DO GLORIA,MG,9
SAO JOAO DA LAGOA,MG,11
SAO JOAO DA MATA,MG,9
SAO JOAO DA PONTE,MG,11
SAO JOAO DA SERRA NEGRA,MG,11
SAO JOAO DAS MISSOES,MG,11
SAO JOAO DEL REI,MG,9
SAO JOAO DO MANHUACU,MG,11
SAO JOAO DO MANTENINHA,MG,11
SAO JOAO DO ORIENTE,MG,11
SAO JOAO DO PACUI,MG,11
SAO JOAO DO PARAISO,MG,11
SAO JOAO EVANGELISTA,MG,11
SAO JOAO NEPOMUCENO,MG,11
SAO JOAQUIM DE BICAS,MG,9
SAO JOSE DA BARRA,MG,9
SAO JOSE DA LAPA,MG,9
SAO JOSE DA SAFIRA,MG,11
SAO JOSE DA VARGINHA,MG,11
SAO JOSE DO ALEGRE,MG,9
SAO JOSE DO DIVINO,MG,11
SAO JOSE DO GOIABAL,MG,11
SAO JOSE DO JACURI,MG,11
SAO JOSE DO MANTIMENTO,MG,11
SAO LOURENCO,MG,9
SAO MIGUEL DO ANTA,MG,11
SAO PEDRO DA UNIAO,MG,9
SAO PEDRO DO AVAI,MG,11
SAO PEDRO DO SUACUI,MG,11
SAO PEDRO DOS FERROS,MG,11
SAO ROMAO,MG,11
SAO ROQUE DE MINAS,MG,11
SAO SEBASTIAO DA BELA VISTA,MG,9
SAO SEBASTIAO DA VARGEM ALEGRE,MG,11
SAO SEBASTIAO DO ANTA,MG,11
SAO SEBASTIAO DO MARANHAO,MG,11
SAO SEBASTIAO DO OESTE,MG,11
SAO SEBASTIAO DO PARAISO,MG,9
SAO SEBASTIAO DO PONTAL,MG,11
SAO SEBASTIAO DO RIO PRETO,MG,11
SAO SEBASTIAO DO RIO VERDE,MG,9
SAO THOME DAS LETRAS,MG,9
SAO TIAGO,MG,11
SAO TOMAS DE AQUINO,MG,9
SAO VICENTE DE MINAS,MG,11
SAPUCAI-MIRIM,MG,9
SARDOA,MG,11
SARZEDO,MG,9
SEM PEIXE,MG,11
SENADOR AMARAL,MG,9
SENADOR CORTES,MG,11
SENADOR FIRMINO,MG,11
SENADOR JOSE BENTO,MG,9
SENADOR MODESTINO GONCALVES,MG,11
SENHORA DE OLIVEIRA,MG,11
SENHORA DO PORTO,MG,11
SENHORA DOS REMEDIOS,MG,11
SERICITA,MG,11
SERITINGA,MG,11
SERRA AZUL DE MINAS,MG,11
SERRA DA SAUDADE,MG,11
SERRA DO SALITRE,MG,11
SERRA DOS AIMORES,MG,11
SERRANIA,MG,9
SERRANOPOLIS DE MINAS,MG,11
SERRANOS,MG,11
SERRO,MG,11
SETE LAGOAS,MG,8
SETUBINHA,MG,11
SILVERANIA,MG,11
SILVIANOPOLIS,MG,9
SIMAO PEREIRA,MG,11
SIMONESIA,MG,11
SOBRALIA,MG,11
SOLEDADE DE MINAS,MG,9
TABULEIRO,MG,11
TAIOBEIRAS,MG,11
TAPARUBA,MG,11
TAPIRA,MG,11
TAPIRAI,MG,11
TAPUIRAMA,MG,11
TAQUARACU DE MINAS,MG,11
TARUACU,MG,11
TARUMIRIM,MG,11
TEIXEIRAS,MG,11
TEOFILO OTONI,MG,9
TIMOTEO,MG,9
TIRADENTES,MG,10
TIROS,MG,11
TOCANTINS,MG,11
TOCOS DO MOJI,MG,9
TOLEDO,MG,9
TOMBOS,MG,11
TRES CORACOES,MG,9
TRES MARIAS,MG,11
TRES PONTAS,MG,9
TUMIRITINGA,MG,11
TUPACIGUARA,MG,11
TURMALINA,MG,11
TURVOLANDIA,MG,9
UBA,MG,9
UBAI,MG,11
UBAPORANGA,MG,11
UBERABA,MG,8
UBERLANDIA,MG,7
UMBURATIBA,MG,11
UNAI,MG,9
UNIAO DE MINAS,MG,11
URUANA DE MINAS,MG,11
URUCANIA,MG,11
URUCUIA,MG,11
VARGEM ALEGRE,MG,11
VARGEM BONITA,MG,11
VARGEM GRANDE DO RIO PARDO,MG,11
VARGINHA,MG,9
VARJAO DE MINAS,MG,11
VARZEA DA PALMA,MG,11
VARZELANDIA,MG,11
VAZANTE,MG,11
VERDELANDIA,MG,11
VEREDINHA,MG,11
VERISSIMO,MG,11
VERMELHO NOVO,MG,11
VESPASIANO,MG,7
VICOSA,MG,11
VIEIRAS,MG,11
VIRGEM DA LAPA,MG,11
VIRGINIA,MG,9
VIRGINOPOLIS,MG,11
VIRGOLANDIA,MG,11
VISCONDE DO RIO BRANCO,MG,11
VOLTA GRANDE,MG,11
WENCESLAU BRAZ,MG,9
AGUA CLARA,MS,12
ALCINOPOLIS,MS,13
AMAMBAI,MS,12
AMANDINA,MS,12
ANASTACIO,MS,11
ANAURILANDIA,MS,14
ANGELICA,MS,12
ANTONIO JOAO,MS,12
APARECIDA DO TABOADO,MS,12
AQUIDAUANA,MS,11
ARAL MOREIRA,MS,12
BANDEIRANTES,MS,10
BATAGUASSU,MS,12
BATAYPORA,MS,12
BELA VISTA,MS,14
BODOQUENA,MS,13
BONITO,MS,13
BRASILANDIA,MS,11
CAARAPO,MS,11
CAMAPUA,MS,11
CAMPO GRANDE,MS,9
CARACOL,MS,13
CASSILANDIA,MS,14
CHAPADAO DO SUL,MS,13
CORGUINHO,MS,10
CORONEL SAPUCAIA,MS,11
CORUMBA,MS,11
COSTA RICA,MS,13
COXIM,MS,13
CULTURAMA,MS,11
DEODAPOLIS,MS,11
DOIS IRMAOS DO BURITI,MS,10
DOURADINA,MS,11
DOURADOS,MS,10
ELDORADO,MS,14
FATIMA DO SUL,MS,11
FIGUEIRAO,MS,13
GLORIA DE DOURADOS,MS,11
GUIA LOPES DA LAGUNA,MS,12
IGUATEMI,MS,14
INOCENCIA,MS,12
ITAPORA,MS,11
ITAQUIRAI,MS,12
IVINHEMA,MS,12
JAPORA,MS,14
JARAGUARI,MS,10
JARDIM,MS,13
JATEI,MS,11
JUTI,MS,11
LADARIO,MS,11
LAGUNA CARAPA,MS,11
MARACAJU,MS,11
MIRANDA,MS,13
MUNDO NOVO,MS,13
NAVIRAI,MS,12
NIOAQUE,MS,11
NOVA ALVORADA DO SUL,MS,12
NOVA AMERICA,MS,13
NOVA ANDRADINA,MS,12
NOVA JALES,MS,15
NOVO HORIZONTE DO SUL,MS,12
PAIAGUAS,MS,12
PANAMBI,MS,10
PARAISO,MS,13
PARAISO DAS AGUAS,MS,13
PARANAIBA,MS,12
PARANHOS,MS,14
PEDRO GOMES,MS,13
PIRAPORA,MS,11
PONTA PORA,MS,12
PORTO MURTINHO,MS,13
RIBAS DO RIO PARDO,MS,10
RIO BRILHANTE,MS,11
RIO NEGRO,MS,11
RIO VERDE DE MATO GROSSO,MS,13
ROCHEDO,MS,10
SANGA PUITA,MS,13
SANTA RITA DO PARDO,MS,12
SAO GABRIEL DO OESTE,MS,11
SELVIRIA,MS,11
SETE QUEDAS,MS,12
SIDROLANDIA,MS,10
SONORA,MS,13
TACURU,MS,14
TAQUARUSSU,MS,12
TERENOS,MS,10
TRES LAGOAS,MS,10
VICENTINA,MS,11
ACORIZAL,MT,11
AGUA BOA,MT,17
ALTA FLORESTA,MT,18
ALTO ARAGUAIA,MT,16
ALTO BOA VISTA,MT,17
ALTO COITE,MT,12
ALTO GARCAS,MT,12
ALTO PARAGUAI,MT,12
ALTO TAQUARI,MT,16
APIACAS,MT,18
ARAGUAIANA,MT,12
ARAGUAINHA,MT,16
ARAPUTANGA,MT,13
ARENAPOLIS,MT,16
ARIPUANA,MT,16
BARAO DE MELGACO,MT,11
BARRA DO BUGRES,MT,12
BARRA DO GARCAS,MT,11
BOM JESUS DO ARAGUAIA,MT,17
BRASNORTE,MT,16
CACERES,MT,11
CAMPINAPOLIS,MT,17
CAMPO NOVO DO PARECIS,MT,16
CAMPO VERDE,MT,12
CAMPOS DE JULIO,MT,17
CANABRAVA DO NORTE,MT,17
CANARANA,MT,17
CARLINDA,MT,18
CASTANHEIRA,MT,16
CHAPADA DOS GUIMARAES,MT,11
CLAUDIA,MT,13
COCALINHO,MT,17
COLIDER,MT,14
COLNIZA,MT,16
COMODORO,MT,17
CONFRESA,MT,17
CONQUISTA D OESTE,MT,17
COTRIGUACU,MT,16
CUIABA,MT,10
CURVELANDIA,MT,12
DENISE,MT,12
DIAMANTINO,MT,12
DOM AQUINO,MT,11
FELIZ NATAL,MT,14
FIGUEIROPOLIS D OESTE,MT,13
GAUCHA DO NORTE,MT,17
GENERAL CARNEIRO,MT,12
GLORIA D OESTE,MT,12
GUARANTA DO NORTE,MT,18
GUIRATINGA,MT,12
INDIANAPOLIS,MT,14
INDIAVAI,MT,13
IPIRANGA DO NORTE,MT,21
ITANHANGA,MT,15
ITAUBA,MT,13
ITIQUIRA,MT,12
JACIARA,MT,11
JANGADA,MT,11
JAURU,MT,13
JUARA,MT,18
JUINA,MT,16
JURUENA,MT,16
JUSCIMEIRA,MT,11
LAMBARI D OESTE,MT,12
LUCAS DO RIO VERDE,MT,14
LUCIARA,MT,17
MARCELANDIA,MT,14
MATUPA,MT,18
MIRASSOL D OESTE,MT,12
NOBRES,MT,12
NORTELANDIA,MT,16
NOSSA SENHORA DO LIVRAMENTO,MT,11
NOVA BANDEIRANTES,MT,18
NOVA BRASILANDIA,MT,16
NOVA CANAA DO NORTE,MT,14
NOVA GUARITA,MT,14
NOVA LACERDA,MT,17
NOVA MARILANDIA,MT,16
NOVA MARINGA,MT,16
NOVA MONTE VERDE,MT,18
NOVA MUTUM,MT,16
NOVA NAZARE,MT,17
NOVA OLIMPIA,MT,17
NOVA SANTA HELENA,MT,14
NOVA UBIRATA,MT,14
NOVA XAVANTINA,MT,13
NOVO DIAMANTINO,MT,12
NOVO HORIZONTE DO NORTE,MT,18
NOVO MUNDO,MT,18
NOVO SANTO ANTONIO,MT,17
NOVO SAO JOAQUIM,MT,13
PARANAITA,MT,18
PARANATINGA,MT,16
PEDRA PRETA,MT,11
PEIXOTO DE AZEVEDO,MT,14
PLANALTO DA SERRA,MT,14
POCONE,MT,12
PONTAL DO ARAGUAIA,MT,11
PONTE BRANCA,MT,13
PONTES E LACERDA,MT,17
PORTO ALEGRE DO NORTE,MT,17
PORTO DOS GAUCHOS,MT,18
PORTO ESPERIDIAO,MT,13
PORTO ESTRELA,MT,13
POXOREU,MT,11
PRIMAVERA DO LESTE,MT,12
QUERENCIA,MT,17
RESERVA DO CABACAL,MT,13
RIBEIRAO CASCALHEIRA,MT,17
RIBEIRAOZINHO,MT,13
RIO BRANCO,MT,17
RONDOLANDIA,MT,16
RONDONOPOLIS,MT,11
ROSARIO OESTE,MT,12
SALTO DO CEU,MT,13
SANTA CARMEM,MT,13
SANTA CRUZ DO XINGU,MT,17
SANTA ELVIRA,MT,11
SANTA RITA DO TRIVELATO,MT,18
SANTA TEREZINHA,MT,17
SANTO AFONSO,MT,16
SANTO ANTONIO DO LESTE,MT,17
SANTO ANTONIO DO LEVERGER,MT,10
SAO FELIX DO ARAGUAIA,MT,17
SAO JOSE DO POVO,MT,11
SAO JOSE DO RIO CLARO,MT,16
SAO JOSE DO XINGU,MT,17
SAO JOSE DOS QUATRO MARCOS,MT,12
SAO PEDRO DA CIPA,MT,11
SAPEZAL,MT,17
SERRA NOVA DOURADA,MT,17
SINOP,MT,12
SORRISO,MT,13
TABAPORA,MT,18
TANGARA DA SERRA,MT,16
TAPURAH,MT,18
TERRA NOVA DO NORTE,MT,14
TESOURO,MT,12
TORIXOREU,MT,12
UNIAO DO SUL,MT,14
VALE DE SAO DOMINGOS,MT,17
VARZEA GRANDE,MT,10
VERA,MT,13
VILA BELA DA SANTISSIMA TRINDADE,MT,17
VILA RICA,MT,17
ABAETETUBA,PA,17
ABEL FIGUEIREDO,PA,17
ACARA,PA,17
AFUA,PA,23
AGUA AZUL DO NORTE,PA,17
ALENQUER,PA,23
ALMEIRIM,PA,23
ALTAMIRA,PA,16
ANAJAS,PA,23
ANANINDEUA,PA,13
ANAPU,PA,19
AUGUSTO CORREA,PA,17
AURORA DO PARA,PA,17
AVEIRO,PA,23
BAGRE,PA,23
BAIAO,PA,23
BANNACH,PA,23
BARCARENA,PA,17
BELEM,PA,13
BELTERRA,PA,22
BENEVIDES,PA,13
BOM JESUS DO TOCANTINS,PA,17
BONITO,PA,17
BRAGANCA,PA,17
BRASIL NOVO,PA,19
BREJO GRANDE DO ARAGUAIA,PA,17
BREU BRANCO,PA,17
BREVES,PA,23
BUJARU,PA,15
CACHOEIRA DO ARARI,PA,17
CACHOEIRA DO PIRIA,PA,19
CAMETA,PA,23
CANAA DOS CARAJAS,PA,17
CAPANEMA,PA,15
CAPITAO POCO,PA,17
CARAJAS,PA,17
CASTANHAL,PA,15
CASTELO DOS SONHOS,PA,21
CHAVES,PA,22
COLARES,PA,17
CONCEICAO DO ARAGUAIA,PA,17
CONCORDIA DO PARA,PA,17
CUMARU DO NORTE,PA,19
CURIONOPOLIS,PA,17
CURRALINHO,PA,23
CURUA,PA,23
CURUCA,PA,19
DOM ELISEU,PA,19
ELDORADO DO CARAJAS,PA,17
FARO,PA,23
